times,x,y,vx,vy,radius
27.281,0.9959916764126693,-0.06756426775050642,0.0,0.0,0.1016483757974973
27.306,0.9861346458403953,-0.08417232498426827,0.0,0.0,0.09850551725889392
27.33,0.9576366843016586,-0.042324328864464106,0.0,0.0,0.17118386816388212
27.356,0.9663364296891193,-0.04463591150600582,0.0,0.0,0.1776606725192341
27.381,0.968631867178277,-0.04367627244951211,0.0,0.0,0.18491020638737596
27.406,0.9620791061326746,-0.037550288657622555,0.0,0.0,0.18388405200516836
27.431,0.9513244915660563,-0.04148853898191188,0.0,0.0,0.1706795970105662
27.456,0.9626356966212908,-0.040497477645366126,0.0,0.0,0.17833078997478577
27.481,0.963616138634745,-0.04324222515922957,0.0,0.0,0.17746302864656685
27.506,0.9871388166877565,-0.21018728087151342,0.0,0.0,0.015883511650078008
27.531,0.9613035982358221,-0.048194681482855856,0.0,0.0,0.17269957441525027
27.556,0.9637717131805384,-0.040417727144190896,0.0,0.0,0.1869199877292473
27.581,0.9599292097290063,-0.04284890041507142,0.0,0.0,0.1827204046426388
27.606,0.9627797972658603,-0.03914888560867685,0.0,0.0,0.18939085506640704
27.631,0.966787573164706,-0.05855836492926597,0.0,0.0,0.1702633596959239
27.656,0.9629730659318199,-0.04628077230711275,0.0,0.0,0.18224394713587663
27.681,0.9623742490500345,-0.03871351609761095,0.0,0.0,0.19009257203897065
27.706,0.9620584084573052,-0.04162516673211619,0.0,0.0,0.18709441663724533
27.731,0.9939779373240449,-0.08392510471653858,0.0,0.0,0.10125573607240643
27.756,0.956906113355264,-0.04982174036760645,0.0,0.0,0.16999672322598533
27.781,0.9613030281463607,-0.05474473233135402,0.0,0.0,0.17297873833829344
27.806,0.9910900831874442,-0.08556664617540397,0.0,0.0,0.09800320501747428
27.831,0.9948374028907301,-0.08193326752943891,0.0,0.0,0.10051387894016081
27.856,0.9946395648833819,-0.08772688263518735,0.0,0.0,0.10762563889663793
27.881,0.9930405876317787,-0.0847485519828427,0.0,0.0,0.10254221530253582
27.906,0.9615705363815639,-0.05176046235499765,0.0,0.0,0.1788335961704047
27.931,0.9647646563579624,-0.05875416058100624,0.0,0.0,0.18126040926694617
27.956,0.965956450404899,-0.055612841680236696,0.0,0.0,0.17951446672893842
27.98,0.9594335099059177,-0.0533795176401205,0.0,0.0,0.1773692072124284
28.008,0.9610287025997752,-0.05560044498740779,0.0,0.0,0.17712395134792788
28.031,0.9663887508894075,-0.054389111266199136,0.0,0.0,0.18339218596294923
28.056,0.967695033306582,-0.05866605371131983,0.0,0.0,0.18459939609636297
28.081,0.9636436649271322,-0.061355660496865416,0.0,0.0,0.17854868351798966
28.105,0.9658069458444303,-0.05446253776901078,0.0,0.0,0.1819610144324285
28.131,0.9640207807834269,-0.052916937664832575,0.0,0.0,0.18524384173031336
28.156,0.9618676399819052,-0.05497800562338706,0.0,0.0,0.18231717404898548
28.181,0.9612414960190574,-0.05583595744111694,0.0,0.0,0.18144457625809515
28.206,0.9592735812376517,-0.057146020629039035,0.0,0.0,0.1788557537034932
28.231,0.9503842706884198,-0.06741132787008008,0.0,0.0,0.1584526958983958
28.256,0.9888336951285256,-0.10124404663457087,0.0,0.0,0.10637316950504186
28.281,0.9919840187463524,-0.10150429861007437,0.0,0.0,0.11194519084375518
